;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Novak Djokovic;SRB;75;12;17;12;512;5.9;147;1.7;0.64;0.75;0.56;0.87;0.46;0.66;0.35;0.56;0.35
2;Roger Federer;SUI;71;12;21;15;665;8.3;120;1.5;0.63;0.78;0.6;0.91;0.42;0.69;0.31;0.51;0.26
3;Andy Murray;GBR;56;16;18;9;521;7.2;163;2.3;0.6;0.74;0.54;0.84;0.41;0.67;0.32;0.56;0.31
4;Rafael Nadal;ESP;42;6;8;3;160;3.3;59;1.2;0.67;0.75;0.57;0.88;0.49;0.71;0.38;0.55;0.38
5;David Ferrer;ESP;76;15;20;13;279;3.3;178;2.1;0.63;0.73;0.57;0.85;0.44;0.65;0.34;0.54;0.31
6;Tomas Berdych;CZE;61;23;20;17;649;8.4;178;2.3;0.59;0.77;0.53;0.87;0.42;0.71;0.29;0.53;0.25
7;Juan Martin Del Potro;ARG;65;17;28;17;594;7.5;168;2.1;0.65;0.75;0.55;0.87;0.43;0.69;0.3;0.51;0.25
8;Jo-Wilfried Tsonga;FRA;55;25;22;16;653;8.6;145;1.9;0.62;0.76;0.53;0.86;0.42;0.69;0.31;0.48;0.23
9;Janko Tipsarevic;SRB;57;28;24;15;632;7.8;186;2.3;0.58;0.75;0.54;0.83;0.4;0.63;0.29;0.5;0.23
10;Richard Gasquet;FRA;42;22;9;11;351;5.5;124;1.9;0.63;0.73;0.56;0.84;0.42;0.63;0.32;0.5;0.27
11;Nicolas Almagro;ESP;58;24;19;24;654;8.7;152;2.0;0.57;0.77;0.55;0.86;0.39;0.63;0.28;0.51;0.22
12;Juan Monaco;ARG;40;19;12;8;95;1.7;112;2.0;0.68;0.67;0.53;0.77;0.43;0.58;0.34;0.53;0.31
13;Milos Raonic;CAN;45;20;27;22;1002;16.2;209;3.4;0.62;0.82;0.56;0.93;0.39;0.74;0.26;0.45;0.15
14;John Isner;USA;45;21;41;18;1005;16.8;131;2.2;0.69;0.78;0.57;0.92;0.31;0.74;0.25;0.41;0.11
15;Marin Cilic;CRO;39;19;12;16;353;6.3;150;2.7;0.55;0.72;0.53;0.81;0.42;0.59;0.32;0.52;0.27
16;Gilles Simon;FRA;43;25;9;13;277;4.2;130;2.0;0.57;0.69;0.52;0.77;0.41;0.59;0.34;0.51;0.29
17;Stan Wawrinka;SUI;35;20;11;19;405;7.6;142;2.7;0.56;0.73;0.53;0.82;0.43;0.66;0.31;0.5;0.25
18;Alexandr Dolgopolov;UKR;34;25;11;13;463;7.8;132;2.2;0.54;0.75;0.52;0.81;0.4;0.62;0.3;0.48;0.23
19;Kei Nishikori;JPN;37;18;10;8;133;2.6;131;2.5;0.64;0.69;0.53;0.78;0.39;0.59;0.33;0.53;0.31
20;Philipp Kohlschreiber;GER;42;24;23;18;499;7.6;126;1.9;0.6;0.74;0.56;0.85;0.44;0.65;0.28;0.5;0.22
21;Tommy Haas;GER;31;16;11;5;291;6.2;159;3.4;0.6;0.75;0.52;0.82;0.38;0.63;0.3;0.51;0.24
22;Sam Querrey;USA;37;25;20;13;705;11.6;236;3.9;0.58;0.8;0.5;0.85;0.38;0.63;0.27;0.46;0.18
23;Andreas Seppi;ITA;38;27;15;11;275;4.5;108;1.8;0.61;0.71;0.52;0.78;0.44;0.57;0.3;0.51;0.25
24;Fernando Verdasco;ESP;32;22;10;11;250;4.6;206;3.8;0.69;0.7;0.51;0.81;0.4;0.65;0.31;0.49;0.24
25;Mikhail Youzhny;RUS;33;21;10;12;236;4.4;116;2.1;0.62;0.71;0.52;0.8;0.41;0.6;0.31;0.54;0.26
26;Jerzy Janowicz;POL;14;4;9;3;160;12.3;47;3.6;0.62;0.82;0.57;0.89;0.43;0.6;0.27;0.44;0.16
27;Mardy Fish;USA;21;11;8;8;301;9.7;78;2.5;0.53;0.78;0.55;0.85;0.44;0.66;0.31;0.51;0.24
28;Florian Mayer;GER;23;26;6;8;180;4.0;55;1.2;0.61;0.71;0.52;0.78;0.4;0.59;0.28;0.48;0.21
29;Jurgen Melzer;AUT;20;25;13;8;204;5.0;132;3.2;0.62;0.69;0.51;0.75;0.45;0.57;0.28;0.47;0.19
30;Martin Klizan;SVK;19;15;5;8;114;3.8;103;3.4;0.56;0.7;0.5;0.75;0.45;0.62;0.29;0.54;0.28
31;Radek Stepanek;CZE;24;26;13;8;211;4.7;142;3.2;0.62;0.7;0.51;0.79;0.41;0.66;0.31;0.48;0.22
32;Jeremy Chardy;FRA;24;20;10;9;324;7.4;181;4.1;0.56;0.74;0.5;0.82;0.37;0.69;0.29;0.49;0.21
33;Thomaz Bellucci;BRA;26;22;12;11;260;5.8;126;2.8;0.57;0.7;0.52;0.79;0.38;0.62;0.29;0.5;0.23
34;Marcel Granollers;ESP;23;23;3;7;186;4.1;113;2.5;0.62;0.69;0.46;0.74;0.35;0.56;0.32;0.47;0.23
35;Julien Benneteau;FRA;27;23;13;11;334;6.8;190;3.9;0.65;0.71;0.49;0.79;0.42;0.62;0.3;0.51;0.24
36;Marcos Baghdatis;CYP;35;25;13;10;379;6.5;184;3.2;0.55;0.73;0.53;0.81;0.41;0.6;0.29;0.5;0.23
37;Kevin Anderson;RSA;30;26;21;15;638;11.4;177;3.2;0.64;0.75;0.53;0.85;0.35;0.66;0.28;0.46;0.16
38;Viktor Troicki;SRB;26;29;11;10;424;8.2;116;2.2;0.61;0.71;0.45;0.74;0.41;0.56;0.31;0.51;0.25
39;Andy Roddick;USA;23;16;12;10;358;9.2;72;1.8;0.66;0.75;0.53;0.84;0.36;0.6;0.26;0.48;0.18
40;Feliciano Lopez;ESP;26;27;14;25;543;10.2;180;3.4;0.57;0.77;0.52;0.86;0.36;0.7;0.27;0.44;0.15
41;Jarkko Nieminen;FIN;26;27;12;11;145;2.8;100;2.0;0.68;0.67;0.47;0.75;0.43;0.57;0.3;0.49;0.23
42;Pablo Andujar;ESP;19;29;11;7;78;1.6;229;4.8;0.59;0.65;0.48;0.67;0.4;0.53;0.31;0.52;0.26
43;Denis Istomin;UZB;30;32;17;16;407;7.1;93;1.6;0.65;0.71;0.53;0.81;0.39;0.62;0.29;0.47;0.19
44;Nikolay Davydenko;RUS;24;23;9;4;93;2.0;177;3.8;0.7;0.65;0.48;0.74;0.45;0.61;0.31;0.53;0.27
45;Fabio Fognini;ITA;22;24;10;6;108;2.4;134;3.0;0.65;0.64;0.48;0.7;0.45;0.56;0.32;0.5;0.26
46;David Goffin;BEL;17;14;5;6;131;4.7;137;4.9;0.57;0.7;0.5;0.75;0.34;0.61;0.28;0.5;0.23
47;Benoit Paire;FRA;26;26;11;14;385;7.4;236;4.5;0.51;0.73;0.47;0.73;0.37;0.57;0.33;0.51;0.26
48;Grigor Dimitrov;BUL;24;19;12;13;309;7.2;120;2.8;0.62;0.73;0.53;0.82;0.36;0.65;0.28;0.48;0.2
49;Marinko Matosevic;AUS;17;19;6;8;153;4.4;89;2.5;0.62;0.66;0.5;0.76;0.43;0.65;0.28;0.5;0.2
50;Lukas Lacko;SVK;13;21;6;8;192;6.2;62;2.0;0.6;0.71;0.5;0.75;0.35;0.53;0.27;0.46;0.17
51;Albert Ramos-Vinolas;ESP;25;30;13;18;175;3.2;184;3.3;0.59;0.66;0.51;0.74;0.42;0.62;0.3;0.51;0.24
52;Bernard Tomic;AUS;26;27;9;8;238;5.0;72;1.5;0.66;0.67;0.5;0.77;0.33;0.61;0.29;0.47;0.19
53;Michael Llodra;FRA;12;14;10;4;218;8.4;63;2.4;0.64;0.73;0.52;0.82;0.3;0.61;0.27;0.46;0.13
54;Alejandro Falla;COL;14;25;8;9;108;2.8;81;2.1;0.62;0.66;0.51;0.71;0.41;0.52;0.28;0.49;0.22
55;Grega Zemlja;SLO;11;8;7;2;132;7.8;43;2.5;0.59;0.71;0.5;0.77;0.46;0.63;0.28;0.52;0.22
56;Robin Haase;NED;19;28;1;10;235;5.6;99;2.4;0.59;0.72;0.47;0.75;0.39;0.53;0.29;0.5;0.23
57;Santiago Giraldo;COL;21;21;6;5;102;2.7;36;0.9;0.66;0.67;0.53;0.8;0.39;0.64;0.28;0.48;0.21
58;Go Soeda;JPN;13;21;3;9;83;2.8;81;2.7;0.54;0.67;0.51;0.72;0.37;0.5;0.3;0.48;0.23
59;Paul-Henri Mathieu;FRA;14;17;11;9;152;4.9;133;4.3;0.54;0.75;0.52;0.79;0.37;0.63;0.27;0.49;0.18
60;Yen-Hsun Lu;TPE;12;18;8;8;142;4.7;112;3.7;0.6;0.72;0.5;0.78;0.41;0.58;0.25;0.48;0.17
61;Brian Baker;USA;11;13;10;5;111;4.6;78;3.3;0.62;0.68;0.51;0.74;0.41;0.54;0.29;0.51;0.22
62;Xavier Malisse;BEL;21;24;9;11;316;7.0;92;2.0;0.58;0.74;0.52;0.8;0.37;0.57;0.27;0.49;0.2
63;Paolo Lorenzi;ITA;8;17;2;5;64;2.6;51;2.0;0.62;0.65;0.5;0.69;0.34;0.5;0.28;0.49;0.18
64;Victor Hanescu;ROU;6;13;3;4;62;3.3;19;1.0;0.72;0.66;0.5;0.76;0.35;0.64;0.27;0.46;0.16
65;Benjamin Becker;GER;10;14;2;6;174;7.3;71;3.0;0.55;0.71;0.49;0.76;0.37;0.57;0.26;0.49;0.2
66;Tatsuma Ito;JPN;10;16;5;4;95;3.8;83;3.3;0.56;0.67;0.52;0.71;0.4;0.55;0.27;0.51;0.19
67;Carlos Berlocq;ARG;25;31;8;8;163;3.0;146;2.7;0.66;0.66;0.48;0.72;0.4;0.58;0.34;0.5;0.29
68;Gilles Muller;LUX;22;21;17;17;559;13.3;125;3.0;0.61;0.81;0.49;0.86;0.33;0.65;0.22;0.46;0.12
69;Igor Sijsling;NED;8;10;6;2;150;8.3;37;2.1;0.6;0.75;0.49;0.8;0.4;0.57;0.28;0.4;0.17
70;Ryan Harrison;USA;23;24;12;10;286;6.5;118;2.7;0.62;0.71;0.52;0.81;0.4;0.63;0.28;0.46;0.18
71;Daniel Gimeno-Traver;ESP;6;12;3;4;95;5.3;46;2.6;0.58;0.69;0.49;0.74;0.34;0.59;0.28;0.49;0.17
72;Leonardo Mayer;ARG;14;14;7;8;178;6.4;106;3.8;0.59;0.74;0.5;0.82;0.37;0.65;0.26;0.46;0.16
73;Ivan Dodig;CRO;16;26;13;8;318;8.0;133;3.3;0.57;0.71;0.47;0.73;0.38;0.59;0.29;0.49;0.2
74;Lukas Rosol;CZE;19;18;8;13;252;7.2;109;3.1;0.59;0.74;0.51;0.82;0.42;0.64;0.26;0.45;0.16
75;Lukasz Kubot;POL;23;27;8;10;204;4.3;205;4.3;0.61;0.69;0.48;0.75;0.4;0.61;0.3;0.49;0.23
76;Bjorn Phau;GER;7;14;4;4;97;4.6;94;4.5;0.54;0.69;0.47;0.68;0.41;0.55;0.29;0.48;0.21
77;Guillermo Garcia-Lopez;ESP;20;25;7;6;164;3.6;184;4.1;0.57;0.68;0.49;0.73;0.43;0.62;0.31;0.47;0.23
78;Gael Monfils;FRA;19;10;3;3;198;7.1;120;4.3;0.63;0.71;0.45;0.77;0.42;0.62;0.32;0.53;0.29
79;Andrey Kuznetsov;RUS;2;5;2;1;45;6.4;29;4.1;0.59;0.73;0.46;0.76;0.27;0.6;0.3;0.51;0.19
80;Roberto Bautista Agut;ESP;3;10;0;2;32;2.5;37;2.8;0.61;0.64;0.44;0.64;0.35;0.58;0.33;0.49;0.25
81;David Nalbandian;ARG;21;17;10;4;122;3.4;122;3.4;0.58;0.7;0.53;0.79;0.39;0.6;0.3;0.52;0.24
82;Lleyton Hewitt;AUS;16;14;5;4;154;5.7;102;3.8;0.53;0.72;0.49;0.76;0.43;0.6;0.28;0.5;0.22
83;Simone Bolelli;ITA;8;11;5;2;46;2.9;32;2.0;0.65;0.69;0.47;0.72;0.42;0.51;0.26;0.47;0.17
84;Horacio Zeballos;ARG;3;9;1;4;66;5.5;33;2.8;0.62;0.68;0.5;0.77;0.36;0.6;0.27;0.46;0.18
85;Ruben Ramirez Hidalgo;ESP;3;12;0;4;40;2.7;78;5.2;0.54;0.67;0.48;0.7;0.4;0.54;0.26;0.5;0.2
86;Jurgen Zopp;EST;9;12;1;4;88;4.9;45;2.5;0.61;0.69;0.5;0.77;0.33;0.57;0.28;0.5;0.19
87;Michael Russell;USA;11;11;3;5;66;3.0;84;3.8;0.63;0.67;0.51;0.73;0.48;0.48;0.31;0.5;0.26
88;Filippo Volandri;ITA;11;21;2;4;14;0.4;59;1.8;0.71;0.62;0.48;0.68;0.43;0.56;0.31;0.5;0.26
89;Olivier Rochus;BEL;10;23;8;10;56;1.8;81;2.5;0.61;0.67;0.52;0.74;0.42;0.56;0.23;0.52;0.17
90;Guillaume Rufin;FRA;3;7;3;3;90;9.0;40;4.0;0.56;0.68;0.51;0.75;0.41;0.65;0.26;0.46;0.18
91;Steve Darcis;BEL;22;17;18;4;150;4.2;44;1.2;0.64;0.69;0.52;0.77;0.41;0.56;0.28;0.52;0.21
92;Blaz Kavcic;SLO;6;15;1;6;79;4.4;71;3.9;0.59;0.63;0.45;0.62;0.46;0.49;0.3;0.49;0.23
93;Flavio Cipolla;ITA;17;23;6;3;31;0.8;128;3.2;0.7;0.61;0.44;0.63;0.45;0.56;0.34;0.52;0.3
94;Albert Montanes;ESP;7;16;1;2;38;1.7;79;3.4;0.62;0.6;0.5;0.64;0.43;0.5;0.31;0.46;0.23
95;Tobias Kamke;GER;6;18;1;4;34;1.4;110;4.6;0.57;0.62;0.46;0.61;0.37;0.51;0.33;0.52;0.28
96;Evgeny Donskoy;RUS;0;4;0;0;16;4.0;4;1.0;0.6;0.65;0.56;0.74;0.36;0.57;0.26;0.4;0.1
