jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Rafael Nadal;ESP;36;4;12;1;121;3.0;68;1.7;0.68;0.74;0.58;0.89;0.46;0.7;0.32;0.55;0.3
2;Novak Djokovic;SRB;53;5;12;8;334;6.2;92;1.7;0.65;0.76;0.61;0.89;0.43;0.68;0.35;0.56;0.34
3;David Ferrer;ESP;35;16;7;3;172;3.4;106;2.1;0.63;0.69;0.53;0.78;0.43;0.57;0.33;0.56;0.32
4;Andy Murray;GBR;26;5;9;5;208;6.7;80;2.6;0.62;0.74;0.52;0.85;0.49;0.66;0.34;0.55;0.33
5;Juan Martin  del Potro;ARG;42;12;15;9;375;6.9;120;2.2;0.65;0.74;0.55;0.86;0.4;0.66;0.28;0.53;0.23
6;Roger Federer;SUI;28;11;11;5;253;6.5;79;2.0;0.62;0.77;0.53;0.86;0.37;0.66;0.32;0.52;0.25
7;Tomas Berdych;CZE;39;17;12;13;425;8.3;121;2.4;0.58;0.79;0.52;0.87;0.44;0.69;0.3;0.56;0.26
8;Stan Wawrinka;SUI;23;14;11;11;277;8.1;98;2.9;0.56;0.75;0.55;0.84;0.39;0.63;0.3;0.49;0.21
9;Richard Gasquet;FRA;39;16;12;8;331;6.2;146;2.8;0.59;0.74;0.54;0.83;0.37;0.64;0.3;0.54;0.25
10;Jo-Wilfried Tsonga;FRA;23;10;11;9;289;9.0;74;2.3;0.62;0.76;0.53;0.88;0.41;0.7;0.28;0.47;0.2
11;Milos Raonic;CAN;36;12;16;11;690;15.7;138;3.1;0.63;0.84;0.54;0.92;0.33;0.68;0.27;0.45;0.16
12;Tommy Haas;GER;28;13;11;5;247;6.0;152;3.7;0.59;0.74;0.54;0.82;0.38;0.59;0.3;0.5;0.24
13;Nicolás Almagro;ESP;17;11;11;9;296;10.6;78;2.8;0.55;0.79;0.53;0.84;0.51;0.58;0.25;0.52;0.23
14;John Isner;USA;27;16;27;14;710;17.8;75;1.9;0.68;0.79;0.56;0.9;0.27;0.71;0.23;0.43;0.11
15;Mikhail Youzhny;RUS;20;15;4;8;158;4.5;103;2.9;0.59;0.71;0.5;0.79;0.43;0.64;0.3;0.5;0.25
16;Fabio Fognini;ITA;12;15;3;3;69;2.7;100;3.8;0.58;0.66;0.45;0.67;0.48;0.58;0.29;0.55;0.29
17;Kei Nishikori;JPN;26;13;6;5;110;3.0;102;2.8;0.61;0.69;0.52;0.77;0.44;0.56;0.3;0.56;0.3
18;Tommy Robredo;ESP;9;9;6;5;117;6.5;50;2.8;0.58;0.73;0.5;0.77;0.41;0.63;0.3;0.49;0.22
19;Gilles Simon;FRA;23;14;10;4;147;4.0;97;2.6;0.57;0.68;0.5;0.75;0.38;0.61;0.32;0.52;0.26
20;Kevin Anderson;RSA;24;16;14;12;451;11.3;135;3.4;0.64;0.77;0.54;0.87;0.32;0.65;0.26;0.47;0.16
21;Jerzy Janowicz;POL;15;12;7;7;240;10.4;130;5.7;0.59;0.76;0.47;0.81;0.39;0.66;0.29;0.46;0.19
22;Philipp Kohlschreiber;GER;16;14;9;9;227;7.8;63;2.2;0.58;0.76;0.55;0.85;0.41;0.64;0.26;0.48;0.18
23;Grigor Dimitrov;BUL;24;15;5;10;328;8.9;108;2.9;0.61;0.77;0.51;0.84;0.35;0.6;0.28;0.48;0.2
24;Ernests Gulbis;LAT;24;9;7;7;233;7.8;106;3.5;0.61;0.77;0.5;0.85;0.42;0.68;0.31;0.51;0.27
25;Andreas Seppi;ITA;17;17;6;4;183;5.7;110;3.4;0.58;0.73;0.5;0.78;0.37;0.6;0.26;0.52;0.22
26;Benoit Paire;FRA;16;17;9;7;309;9.4;137;4.2;0.54;0.75;0.45;0.75;0.39;0.58;0.31;0.5;0.23
27;Jurgen Melzer;AUT;19;13;5;9;138;4.3;98;3.1;0.65;0.69;0.51;0.8;0.36;0.63;0.3;0.5;0.23
28;Feliciano Lopez;ESP;14;13;6;6;296;11.0;112;4.1;0.57;0.73;0.52;0.81;0.36;0.62;0.26;0.45;0.16
29;Dmitry Tursunov;RUS;25;14;12;2;294;7.9;169;4.6;0.57;0.75;0.5;0.83;0.44;0.68;0.28;0.5;0.22
30;Fernando Verdasco;ESP;9;12;5;6;120;5.7;116;5.5;0.61;0.72;0.51;0.8;0.35;0.63;0.29;0.49;0.19
31;Gael Monfils;FRA;16;12;6;7;267;9.5;123;4.4;0.65;0.73;0.48;0.81;0.38;0.64;0.3;0.47;0.22
32;Vasek Pospisil;CAN;15;13;8;11;262;9.7;107;4.0;0.54;0.79;0.52;0.86;0.33;0.64;0.29;0.47;0.19
33;Ivan Dodig;CRO;20;16;6;10;336;9.3;110;3.1;0.58;0.74;0.52;0.81;0.45;0.63;0.28;0.52;0.24
34;Jeremy Chardy;FRA;10;14;5;4;222;9.3;127;5.3;0.6;0.74;0.47;0.8;0.35;0.6;0.26;0.5;0.18
35;Julien Benneteau;FRA;21;17;7;4;233;6.1;110;2.9;0.62;0.7;0.5;0.76;0.4;0.57;0.31;0.52;0.26
36;Janko Tipsarevic;SRB;15;15;3;10;201;6.7;67;2.2;0.57;0.73;0.53;0.82;0.39;0.68;0.27;0.49;0.2
37;Marin Cilic;CRO;14;6;8;1;190;9.5;48;2.4;0.55;0.77;0.56;0.85;0.42;0.67;0.3;0.51;0.23
38;Marcel Granollers;ESP;13;15;3;3;119;4.4;78;2.9;0.6;0.69;0.52;0.75;0.4;0.58;0.26;0.52;0.2
39;Jarkko Nieminen;FIN;22;18;9;8;142;3.6;93;2.4;0.66;0.68;0.51;0.78;0.43;0.59;0.26;0.54;0.26
40;Florian Mayer;GER;15;15;2;5;132;4.7;48;1.7;0.63;0.71;0.49;0.79;0.36;0.6;0.27;0.47;0.19
41;Carlos Berlocq;ARG;10;9;5;7;78;4.1;46;2.4;0.67;0.72;0.5;0.78;0.38;0.53;0.28;0.51;0.2
42;Juan Mónaco;ARG;2;8;0;4;17;1.9;31;3.4;0.62;0.57;0.48;0.58;0.39;0.53;0.3;0.49;0.24
43;Robin Haase;NED;13;14;5;7;190;7.3;78;3.0;0.61;0.73;0.47;0.79;0.41;0.61;0.27;0.48;0.2
44;Radek Stepanek;CZE;11;9;4;4;85;5.0;69;4.1;0.62;0.7;0.49;0.75;0.43;0.53;0.31;0.53;0.28
45;Denis Istomin;UZB;25;19;7;10;288;6.5;87;2.0;0.63;0.73;0.52;0.84;0.4;0.69;0.28;0.47;0.21
46;Sam Querrey;USA;23;15;16;10;426;12.5;123;3.6;0.59;0.79;0.48;0.84;0.35;0.61;0.25;0.46;0.15
47;Lukas Rosol;CZE;14;19;4;6;231;7.5;110;3.5;0.58;0.72;0.48;0.76;0.37;0.6;0.29;0.47;0.2
48;Pablo Andújar;ESP;6;15;1;3;31;1.5;73;3.5;0.59;0.63;0.44;0.63;0.35;0.57;0.28;0.52;0.2
49;Joao Sousa;POR;13;10;2;2;51;2.4;44;2.1;0.61;0.68;0.46;0.73;0.41;0.57;0.3;0.49;0.23
50;Nicolas Mahut;FRA;5;4;4;3;64;7.1;30;3.3;0.57;0.76;0.55;0.88;0.43;0.68;0.29;0.46;0.18
51;Bernard Tomic;AUS;15;15;9;10;234;7.8;43;1.4;0.66;0.72;0.53;0.84;0.38;0.68;0.25;0.49;0.17
52;Edouard Roger-Vasselin;FRA;14;16;0;9;115;3.8;84;2.8;0.62;0.71;0.49;0.79;0.43;0.61;0.29;0.47;0.23
53;Nikolay Davydenko;RUS;17;13;4;3;73;2.4;66;2.2;0.67;0.65;0.51;0.75;0.51;0.62;0.34;0.52;0.3
54;Daniel Brands;GER;12;12;6;3;201;8.7;60;2.6;0.66;0.75;0.53;0.86;0.31;0.64;0.25;0.47;0.14
55;Federico Delbonis;ARG;2;2;2;0;13;3.3;11;2.8;0.64;0.68;0.46;0.78;0.27;0.67;0.23;0.42;0.08
56;Horacio Zeballos;ARG;4;9;1;4;63;5.3;49;4.1;0.58;0.7;0.48;0.76;0.38;0.69;0.21;0.42;0.11
57;Alexandr Dolgopolov;UKR;17;16;7;6;191;6.6;86;3.0;0.52;0.75;0.49;0.76;0.35;0.57;0.28;0.49;0.21
58;Michal Przysiezny;POL;6;8;4;2;125;8.9;47;3.4;0.59;0.77;0.5;0.82;0.36;0.63;0.25;0.4;0.12
59;Roberto Bautista Agut;ESP;15;13;11;2;60;2.1;59;2.1;0.68;0.65;0.51;0.76;0.38;0.59;0.29;0.52;0.23
60;Adrian Mannarino;FRA;6;11;2;4;81;4.8;40;2.4;0.59;0.69;0.49;0.76;0.41;0.69;0.25;0.5;0.17
61;Lleyton Hewitt;AUS;14;12;8;6;155;6.2;95;3.8;0.51;0.71;0.52;0.76;0.44;0.58;0.28;0.51;0.24
62;Marinko Matosevic;AUS;15;14;9;6;116;4.1;77;2.8;0.59;0.71;0.51;0.78;0.38;0.6;0.27;0.53;0.25
63;Guillermo Garcia-Lopez;ESP;6;9;2;1;66;4.7;63;4.5;0.53;0.72;0.48;0.76;0.44;0.57;0.28;0.52;0.24
64;Albert Montanes;ESP;0;6;0;1;14;2.3;21;3.5;0.58;0.62;0.45;0.64;0.33;0.53;0.17;0.39;0.07
65;Pablo Carreño Busta;ESP;2;3;1;1;14;2.8;6;1.2;0.61;0.68;0.49;0.71;0.4;0.41;0.28;0.53;0.22
66;Yen-Hsun Lu;TPE;13;14;3;7;102;3.8;87;3.2;0.62;0.71;0.53;0.79;0.44;0.56;0.31;0.54;0.27
67;Mikhail Kukushkin;KAZ;6;5;3;1;55;5.0;26;2.4;0.55;0.69;0.47;0.71;0.58;0.57;0.3;0.53;0.29
68;Santiago Giraldo;COL;9;15;1;4;95;4.5;47;2.2;0.62;0.7;0.5;0.78;0.38;0.55;0.27;0.46;0.18
69;Igor Sijsling;NED;10;18;6;8;224;8.6;43;1.7;0.58;0.75;0.5;0.8;0.34;0.59;0.24;0.46;0.14
70;Filippo Volandri;ITA;0;3;0;0;2;0.7;8;2.7;0.64;0.55;0.44;0.58;0.44;0.47;0.28;0.42;0.17
71;Lukasz Kubot;POL;6;11;5;2;94;6.3;68;4.5;0.61;0.69;0.45;0.7;0.42;0.48;0.28;0.49;0.22
72;Dudi Sela;ISR;4;7;2;1;16;1.6;37;3.7;0.6;0.63;0.46;0.62;0.32;0.5;0.33;0.5;0.27
73;Tobias Kamke;GER;10;11;5;2;56;2.7;65;3.1;0.59;0.67;0.5;0.74;0.41;0.64;0.29;0.52;0.25
74;Viktor Troicki;SRB;3;8;0;3;75;7.5;25;2.5;0.6;0.7;0.43;0.71;0.37;0.58;0.3;0.44;0.19
75;Daniel Gimeno-Traver;ESP;4;10;3;5;97;6.9;56;4.0;0.57;0.7;0.5;0.76;0.37;0.58;0.24;0.49;0.17
76;Victor Hanescu;ROU;4;15;5;9;80;4.4;18;1.0;0.68;0.68;0.49;0.77;0.27;0.59;0.27;0.42;0.13
77;Ivo Karlovic;CRO;13;11;16;8;414;17.3;82;3.4;0.65;0.82;0.55;0.91;0.3;0.65;0.2;0.4;0.07
78;Benjamin Becker;GER;6;16;4;9;163;7.4;77;3.5;0.55;0.75;0.48;0.77;0.39;0.57;0.24;0.47;0.16
79;Matthew Ebden;AUS;6;9;2;3;75;5.8;70;5.4;0.59;0.73;0.46;0.73;0.31;0.56;0.28;0.46;0.19
80;Teymuraz Gabashvili;RUS;2;1;0;1;16;5.3;5;1.7;0.62;0.65;0.6;0.84;0.24;0.7;0.33;0.45;0.2
81;Lukas Lacko;SVK;14;14;5;2;135;5.6;67;2.8;0.58;0.7;0.48;0.74;0.37;0.57;0.28;0.5;0.21
82;Albert Ramos-Vinolas;ESP;5;9;2;4;48;4.0;41;3.4;0.58;0.72;0.48;0.78;0.34;0.6;0.28;0.48;0.21
83;Kenny De Schepper;FRA;3;6;2;3;84;9.3;44;4.9;0.64;0.71;0.54;0.81;0.33;0.6;0.21;0.41;0.09
84;Jiri Vesely;CZE;0;5;2;0;18;6.0;13;4.3;0.61;0.7;0.4;0.67;0.36;0.56;0.24;0.42;0.11
85;Julian Reister;GER;0;1;0;1;2;2.0;4;4.0;0.76;0.55;0.41;0.58;0.5;0.56;0.34;0.46;0.22
86;Marcos Baghdatis;CYP;15;15;6;12;250;8.6;121;4.2;0.53;0.77;0.51;0.84;0.37;0.65;0.26;0.5;0.2
87;Alex Bogomolov Jr.;RUS;6;8;2;4;38;2.9;45;3.5;0.68;0.65;0.52;0.73;0.44;0.58;0.29;0.53;0.22
88;Aljaz Bedene;GBR;4;8;2;1;106;8.8;50;4.2;0.56;0.75;0.46;0.75;0.4;0.55;0.28;0.48;0.2
89;Tim Smyczek;USA;6;9;2;5;102;6.8;38;2.5;0.63;0.69;0.51;0.77;0.38;0.59;0.29;0.51;0.23
90;Somdev Devvarman;IND;12;10;5;4;94;4.7;37;1.9;0.59;0.68;0.52;0.77;0.38;0.66;0.27;0.52;0.22
91;Alejandro Gonzalez;COL;0;1;0;0;7;7.0;6;6.0;0.55;0.72;0.41;0.69;0.31;0.6;0.42;0.57;0.38
92;Michael Russell;USA;4;9;1;1;39;3.0;31;2.4;0.63;0.68;0.45;0.69;0.41;0.58;0.27;0.48;0.21
93;Aleksandr Nedovyesov;KAZ;0;1;0;0;6;6.0;1;1.0;0.56;0.75;0.32;0.7;0.0;0.57;0.18;0.4;0.0
94;Guido Pella;ARG;2;5;2;2;22;3.1;18;2.6;0.56;0.65;0.46;0.64;0.33;0.52;0.19;0.45;0.1
95;Leonardo Mayer;ARG;4;6;2;3;32;4.0;33;4.1;0.6;0.68;0.5;0.79;0.38;0.61;0.28;0.45;0.18
96;Donald Young;USA;2;3;0;0;13;2.6;22;4.4;0.63;0.62;0.44;0.67;0.4;0.64;0.35;0.61;0.35
